{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,0,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},29,1,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},28,2,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},27,3,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},26,4,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,5,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},24,6,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},23,7,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},22,8,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},21,9,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},20,10,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},19,11,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,12,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': 'left'},17,13,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': 'left'},16,14,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},15,15,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},14,16,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},13,17,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},12,18,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},11,19,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},10,20,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},9,21,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},8,22,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},7,23,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},6,24,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},5,25,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},4,26,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},3,27,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},2,28,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},1,29,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},0,30,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-1,31,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-2,32,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-3,33,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-4,34,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-5,35,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-6,36,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-7,37,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-8,38,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-9,39,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-10,40,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-11,41,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-12,42,set(['forward', 'red']),False
