{'light': 'red', 'oncoming': None, 'right': None, 'left': None},20,0,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,1,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,2,set([None, 'red']),False
{'light': 'green', 'oncoming': 'left', 'right': None, 'left': None},17,3,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},16,4,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,5,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},14,6,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},13,7,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},12,8,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},11,9,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},10,10,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},9,11,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},8,12,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},7,13,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},6,14,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},5,15,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},4,16,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},3,17,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},2,18,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},1,19,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},0,20,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,0,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},29,1,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},28,2,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},27,3,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},26,4,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},25,5,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},24,6,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},23,7,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},22,8,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,9,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},20,10,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,11,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},18,12,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},17,13,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},16,14,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},15,15,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},14,16,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},13,17,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},12,18,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},11,19,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},10,20,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},9,21,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},8,22,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},7,23,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},6,24,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},5,25,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},4,26,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},3,27,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},2,28,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},1,29,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},0,30,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},40,0,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},39,1,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},38,2,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},37,3,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},36,4,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},35,5,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},34,6,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},33,7,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},32,8,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},31,9,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,10,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},29,11,set(['forward', 'red']),False
{'light': 'red', 'oncoming': 'left', 'right': None, 'left': None},28,12,set(['red', 'left']),False
{'light': 'red', 'oncoming': 'left', 'right': None, 'left': None},27,13,set(['forward', 'red']),False
{'light': 'red', 'oncoming': 'left', 'right': None, 'left': None},26,14,set(['red', 'left']),False
